"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Поиск и заполненине все обязательных для заказа полей и проверка наличия статуса ""Заказ оформлен""","13753","Проверка заказа самоката с заполнением всех обязательных полей двумя наборами данных","tests","2026-03-06","passed","2026-03-06","TestScooterOrder","test_scooter_order","",""
"Поиск и клик по всем вопросам раздела ""Вопросы о важном"" на главной странице с проверкой видимость ответов","387","Проверка корректности отображения ответов на ""Вопросы о важном"" по клику на вопрос","tests","2026-03-06","passed","2026-03-06","TestQuestionList","test_question_list","",""
"Поиск и клик по всем вопросам раздела ""Вопросы о важном"" на главной странице с проверкой видимость ответов","525","Проверка корректности отображения ответов на ""Вопросы о важном"" по клику на вопрос","tests","2026-03-06","passed","2026-03-06","TestQuestionList","test_question_list","",""
"Поиск и клик по всем вопросам раздела ""Вопросы о важном"" на главной странице с проверкой видимость ответов","451","Проверка корректности отображения ответов на ""Вопросы о важном"" по клику на вопрос","tests","2026-03-06","passed","2026-03-06","TestQuestionList","test_question_list","",""
"Поиск и клик по всем вопросам раздела ""Вопросы о важном"" на главной странице с проверкой видимость ответов","564","Проверка корректности отображения ответов на ""Вопросы о важном"" по клику на вопрос","tests","2026-03-06","passed","2026-03-06","TestQuestionList","test_question_list","",""
"Поиск и клик по всем вопросам раздела ""Вопросы о важном"" на главной странице с проверкой видимость ответов","525","Проверка корректности отображения ответов на ""Вопросы о важном"" по клику на вопрос","tests","2026-03-06","passed","2026-03-06","TestQuestionList","test_question_list","",""
"Поиск и клик по всем вопросам раздела ""Вопросы о важном"" на главной странице с проверкой видимость ответов","9876","Проверка корректности отображения ответов на ""Вопросы о важном"" по клику на вопрос","tests","2026-03-06","passed","2026-03-06","TestQuestionList","test_question_list","",""
"Поиск и заполненине все обязательных для заказа полей и проверка наличия статуса ""Заказ оформлен""","2508","Проверка заказа самоката с заполнением всех обязательных полей двумя наборами данных","tests","2026-03-06","passed","2026-03-06","TestScooterOrder","test_scooter_order","",""
"Поиск и клик логотипа Яндекса с переходом в новое окно и проверкой ссылки в новом окне","3016","Проверка открытия нового окна с сайтом Дзен при нажатии на логотип Яндекса","tests","2026-03-06","passed","2026-03-06","TestNaviationButtons","test_navigation_buttons","",""
"Поиск и клик по всем вопросам раздела ""Вопросы о важном"" на главной странице с проверкой видимость ответов","508","Проверка корректности отображения ответов на ""Вопросы о важном"" по клику на вопрос","tests","2026-03-06","passed","2026-03-06","TestQuestionList","test_question_list","",""
"Поиск и клик по всем вопросам раздела ""Вопросы о важном"" на главной странице с проверкой видимость ответов","384","Проверка корректности отображения ответов на ""Вопросы о важном"" по клику на вопрос","tests","2026-03-06","passed","2026-03-06","TestQuestionList","test_question_list","",""
"Переход с главной страницы на страницу заказа самоката, поиск и клик логотипа Самокат с проверкой текущей ссылки после перехода","9505","Проверка перехода на главную странцу при клике по логотипу Самокат","tests","2026-03-06","passed","2026-03-06","TestNaviationButtons","test_navigation_buttons","",""
